"ID","分级","文献线","完整题名","作者_年份_出处_DOI","原理与多视使用","原始输入假设","角度或顺序依赖","原始数据协议","开集判决与阈值","公开代码数据_截至2026_08_10","复现难度","对本场景的采用方式","实验回答的问题","第一轮"
"B01","强烈推荐","单视HRRP开集","Open Set HRRP Recognition Based on Convolutional Neural Network","Wei Chen; Yanhua Wang; Jia Song; Yang Li; 2019; The Journal of Engineering 2019(21):7701-7704; 10.1049/joe.2019.0706","1D-CNN提取激活；到类均值的距离拟合Weibull；OpenMax重分配已知与未知概率","单条HRRP；固定长度；单样本一次判决","不使用角度标签；不依赖多视顺序","实测HRRP；固定已知类，未知类由1增加到4；论文F1约92.50/88.92/84.43/80.06%","Weibull EVT；未知作为第K+1类，最大OpenMax概率决策；尾长等实现细节需重定","标题、DOI、作者GitHub检索未定位论文官方代码；数据未公开","中：方法简单但原论文仅4页，尾长与数据协议复刻不完整","把OpenMax接到融合后的集合特征；与同一Deep Sets编码器的Energy头共用训练权重","EVT校准本身是否优于普通置信度阈值，而非编码器差异造成提升","是"
"B02","强烈推荐","单视HRRP开集","Convolutional Neural Networks for Radar HRRP Target Recognition and Rejection","Jinwei Wan; Bo Chen; Bin Xu; Hongwei Liu; Lin Jin; 2019; EURASIP Journal on Advances in Signal Processing 2019:5; 10.1186/s13634-019-0603-y","CNN分类器加反卷积解码器；以输入重构误差拒识","单条时域HRRP或其时频谱","不使用多视角或角度标签；无集合顺序","3类实测飞机为已知；XPATCH仿真卡车为未知；最佳AUROC约0.9662","重构误差阈值；原论文用ROC扫描选择工作点，接触未知测试分布","论文开放获取；未定位作者官方代码；实测数据未公开","中：网络细节较全，但跨源未知与阈值协议不能原样公平照搬","在Deep Sets集合表征上加共享或类条件解码头；阈值改为已知验证集分位数","判别式EVT与生成式重构哪类未知证据更适合随机多视集合","是"
"B03","可选","单视HRRP开集","Radar HRRP Open Set Target Recognition Based on Closed Classification Boundary","Ziheng Xia; Penghui Wang; Hongwei Liu; 2023; Remote Sensing 15(2):468; 10.3390/rs15020468","用k近邻对象的分布平衡度检测每类闭合边界；最近类中心分类","单条HRRP的CNN嵌入","不使用显式角度；不依赖样本顺序","13类实测飞机；An-26、Cessna、Yak-42为已知，余10类未知；已知按航迹段划分训练测试","测试嵌入的BDC与训练边界分位点beta_round(n*phi)比较；k、phi为超参数","全文开放；未定位官方代码；数据未公开","中：算法清晰，但kNN存储和高维邻域计算较重","只在集合级嵌入上做边界；放在第二轮与OpenMax比较","非参数局部闭边界是否优于类中心/EVT全局边界","否"
"B04","可选","单视HRRP开集","Spatial Distribution Learning With Multivariate Extreme Value Boundary for Radar HRRP Open Set Recognition","Wentao Li; Shuai Li; Junyan Chen; Biao Tian; Shiyou Xu; Zengping Chen; 2025; IEEE TAES 61(3):6444-6459; 10.1109/TAES.2025.3527429","同时约束特征到原型的距离和方向；对多个边界变量拟合GEV边缘并用Plackett copula建模依赖","单条HRRP；原型式深度嵌入","无显式角度与顺序输入","7类实测飞机；4已知3未知；4种重划分；六骨干均值AUROC/OSCR约0.9218/0.9140","多变量极值边界；阈值由训练集预设离群比例确定，但论文未明确该比例","题名与GitHub检索未定位论文官方代码；数据未公开","高：原型约束、GEV与copula三部分都需复刻，校准比例不充分","第二轮只移植SDL-MEVB拒识头到集合嵌入，不重做专用骨干","多变量距离-方向边界是否在宽角类内多峰下优于单变量OpenMax","否"
"B05","可选","单视HRRP开集","HRRP Open-Set Recognition Via Physics-Guided Pseudo-OOD Generation and Prior Decoupling","Jixi Li; Weiwei Guo; Siyuan Mu; Feiming Wei; Tao Zhang; Wenxian Yu; 2025; IEEE TAES 61(4):9601-9618; 10.1109/TAES.2025.3556812","按径向尺度与物理尺度关系生成域内伪OOD；先验解耦与OOD对比学习抑制过置信","单条HRRP；需要目标物理/尺度先验","不依赖视图顺序；依赖额外物理先验，角度标签未作为显式输入","实测与仿真HRRP；同时评估far-OOD与near-OOD；完整划分需按正文复刻","以伪OOD训练开放边界；论文阈值细节需从全文实现核验","题名与GitHub检索未定位论文官方代码；数据未公开","很高：伪OOD生成、物理先验、先验解耦和对比损失耦合","仅在已能定义可靠物理尺度时作为第二轮；伪OOD按集合采样构造且禁止测试未知参与","物理约束的伪未知是否改善近邻未知，而非只拒绝容易的跨域未知","否"
"B06","可选","单视HRRP开集","OSFSM: A Systematic Open Set Framework for Radar Automatic Target Recognition Using HRRP","Wentao Li; Biao Tian; Jing Ma; Pengjun Huang; Shiyou Xu; 2025; IEEE TAES 61(5):12350-12365; 10.1109/TAES.2025.3575045","素数长度全尺度卷积编码；原型距离/方向关系与分类权重约束共同缓解logit过置信","单条HRRP","无显式角度或多视顺序","4个开放集数据集；Dataset4为同源实测未知；四数据集平均AUROC/OSCR约0.956/0.935","训练集预设离群比例确定阈值；比例未充分报告","题名与GitHub检索未定位论文官方代码；数据未公开","高：专用骨干和多项约束难与共享编码器公平拆分","第二轮做编码器或关系约束消融，不作为第一轮整套模型","HRRP专用感受野与抑制过置信约束是否在集合融合后仍有增益","否"
"B07","不建议复现","单视HRRP开集","Open Set HRRP Recognition With Few Samples Based on Multi-Modality Prototypical Networks","Long Tian; Bo Chen; Zekun Guo; Chuan Du; Yang Peng; Hongwei Liu; 2022; Signal Processing 193:108391; 10.1016/j.sigpro.2021.108391","多峰/多模态原型、Mahalanobis度量和FiLM用于少样本新类任务","支持集加单条查询；multi-modality指姿态造成类内多峰，不是多条HRRP联合输入","不以无序多视集合为输入","RareHRRP仿真50类；episodic few-shot/open-set协议，允许新类支持样本","原型度量及episode阈值；任务包含新类适配","未定位官方代码；RareHRRP完整公开性不确定","高且任务协议不同","不作为主baseline；可借鉴多峰原型思想","不能公平回答无支持样本的未知拒识问题","否"
"B08","不建议复现","单视HRRP开集","Class-Specific Feature Reconstruction With Pseudo-Label for Open-Set HRRP Recognition","Qidi Pan; Jing Liang; Kuo Liao; 2026; Pattern Recognition 172:112565; 10.1016/j.patcog.2025.112565","30度角度组编码、ResFold与流形正则；伪标签选择类特定自编码器；MSE-余弦重构","单条HRRP加显式角度组；训练覆盖完整姿态","强依赖角度分组，不依赖多视顺序","仿真6已知4未知、实测3已知1未知；F1约95.76/91.39%","类特定重构误差；类阈值为最大训练误差乘epsilon，论文epsilon=0.95","未定位官方代码；数据未公开","高：角度分组和完整姿态是核心组件","主实验不复现；若要做有角度信息上界，仅保留为第二轮oracle","显式角度分组能提供多少上界，而不是无角度集合方法孰优","否"
"B09","不建议复现","单视HRRP开集","Open-Set Recognition of Radar One-Dimensional Range Profiles Based on Attention Mechanism and Multi-Task Joint Training","Bowen Bai; Long Xue; Mingyao Xue; Bailiang Pu; 2026; IET Radar Sonar & Navigation 20:e70121; 10.1049/rsn2.70121","CNN与双层多头注意；分类、中心、SmoothL1重构联合训练；原型距离拒识并聚类未知子类","单条HRRP","不依赖多视顺序；无显式多视角输入","论文HRRP数据不共享；任务还要求区分未知子类","原型距离与后处理阈值；细节需按全文复刻","全文开放；Data Availability明确数据不共享；未定位代码","高：多任务、后处理和额外未知聚类超出当前任务","只借鉴分类-重构联合损失；不原样复现整套系统","其额外未知子类聚类不能回答当前已知分类加统一拒识问题","否"
"B10","强烈推荐","多视HRRP闭集","Deep Learning for HRRP-Based Target Recognition in Multistatic Radar Systems","Jarmo Lundén; Visa Koivunen; 2016; IEEE Radar Conference; 10.1109/RADAR.2016.7485271","每个单/双基地通道独立DCNN；类别后验等权平均","固定有身份的多站同步通道；原论文为低SNR仿真","无显式序列顺序；通道具有固定几何身份，不是可交换随机集合","仿真多基地；原文无真实未见类完整实验；1站/5站已知类正确率约0.7628/0.8575","融合最大概率低于gamma拒识；gamma按已知样本错误概率Pw=0.05选择","标题和GitHub检索未定位代码/数据","低到中：概念极简，精确仿真协议不可完全复刻","使用共享1D编码器逐视预测，对logit或概率做均值；阈值仅由已知验证集确定","多视数量增加和简单晚融合本身能带来多少收益","是"
