"ID","层级","证据","完整题名","作者","年份与出处","DOI或原始链接","任务与对象","输入形态","视角数量/角度/顺序/角度标签","数据与已知未知划分","多视融合","开集判决与阈值","指标与主要结果","代码和数据","明确局限","与本研究相似点","与本研究差异"
"D0-01","直接架构先驱","E1/E2","Deep Learning for HRRP-Based Target Recognition in Multistatic Radar Systems","Jarmo Lundén; Visa Koivunen","2016; IEEE Radar Conference; 1-6","10.1109/RADAR.2016.7485271","多基地HRRP目标分类；带拒识输出","多站单/双基地通道同步HRRP","多通道；精确站数/角范围NR；通道身份固定；角度标签NR","仿真低SNR；类别与划分公开摘要NR；已核实验类别参加训练","每通道独立DCNN；类别概率等权平均","融合最大概率低于γ拒识；γ按已知样本错误概率Pw=0.05选","无阈值时1站/5站已知类正确率约0.7628/0.8575；真实未知指标NR","代码和数据未发现","没有真实未见类实验；MSP过置信；等权融合；坏站/缺站未测","多条HRRP联合一次判决；顺序不敏感的晚融合","固定多站通道语义；非随机无序集合；不是完整OSR实证"
"D1-01","直接同题","E1","Open-set HRRP Recognition Method Based on Joint Sparse Representation","Shuang Qu; Shengqi Liu; Qiang Fu","2022; Journal of Physics: Conference Series 2384(1):012012","10.1088/1742-6596/2384/1/012012","地面目标型号已知分类与未知拒识","同一目标5条连续小角度HRRP","V=5；连续小角；按方位组织；不以角度数值作为网络输入但字典按角度排序","MSTAR SAR芯片反演；10类；17°训练/15°测试；BMP2/BTR70/T72已知，其余7类未知","SOMP联合稀疏；各视角共享精确非零行支撑","最小重构误差选类；匹配右尾与非匹配左尾GPD/EVT；K=3; ρ=0.01; 阈值0.9","平均识别率0.934；SR-OSR 0.881；OCSVM 0.784；W-SVM 0.786","MSTAR公开；HRRP反演/代码未公开","作者明确说明大角度或多站差异破坏共同支撑","多条HRRP联合；真实未知类","连续强相关固定5视；非随机宽角；非集合深度模型"
"D1-02","直接同题","E1","基于联合动态稀疏表示的开集距离像目标识别方法 / Open-set HRRP Target Recognition Method Based on Joint Dynamic Sparse Representation","刘盛启; 张会强; 滕书华; 瞿爽; 吴中杰","2023; 电子与信息学报 45(11):4101-4109","10.11999/JEIT221284","多视HRRP地面目标型号开集识别","同一目标5条HRRP；连续小角与随机角度两情形","V=5；Situation-I连续；Situation-II随机角度排列/组合；模型未证明形式化置换不变；无显式角标签","MSTAR反演；10类；17°训练/15°测试；3已知7未知候选；开放度7.42%-32.06%","共享类别块稀疏；不同视角可在块内选不同原子","最小重构误差候选；匹配右尾/非匹配左尾GPD；K=2; ρ=0.7; δg=0.3","Situation-I/II平均0.832/0.816；SR-OSR 0.809/0.732；KLD-RPA 0.813/0.752","MSTAR公开；代码/反演/分组未公开","固定5视；EVT样本量敏感；无AUROC/OSCR；阈值隔离不清；不是真实多站","随机角度多HRRP联合且无显式角标签；最接近本场景","随机顺序不等于随机360°子集或置换不变；字典稀疏模型"
"D1-03","直接同题","E1","Open Set Target Recognition Based on Multi-Task Compressed Sensing Using Multi-View High Range Resolution Profiles","Huiqiang Zhang; Shengqi Liu; Shuang Qu; Jianping Ou; Jun Zhang; Jie Deng","2024; IET International Radar Conference 2023; IET Conference Proceedings 2023(47):1036-1043","10.1049/icp.2024.1229","地面目标型号开集识别","同一目标5条连续小角度HRRP","V=5；连续小角；有序/强相关；显式角标签NR","MSTAR反演；3已知；1-7未知逐步加入","Bayesian多任务压缩感知；共享稀疏先验精度；联合重构","类均值归一化重构误差；按类Weibull与假设检验；δ确定规则NR","1未知类时KIR约0.789、UDR约0.686；优于论文单视投票基线","MSTAR公开；代码/构造脚本未公开","强相关假设；阈值不可复现；未知难度未分层","多条HRRP联合；真实未知类","固定连续5视；非随机宽角；非置换不变"
"C-01","多视HRRP闭集","E1","Radar Target Classification Using Multiple Perspectives","Martin Vespe; Christopher J. Baker; Hugh D. Griffiths","2007; IET Radar Sonar & Navigation 1(4):300-307","10.1049/iet-rsn:20060049","目标类别闭集分类","同一目标1-5个不同观测角HRRP","V=1-5；多角；顺序不是核心；角标签使用NR","实测HRRP；类别/划分见正文；无未知类","Bayes/KNN/神经网络的多视证据或决策联合","无开集判决","多视数增加可提升论文协议内闭集性能","代码/数据未发现","仅闭集；浅层方法；阈值/未知类不存在","随机多角观测的早期证据","没有未知拒识；置换不变未形式化"
"C-02","多视HRRP闭集","E2","Multi-view Radar Target Recognition Based on Multitask Compressive Sensing","Shengqi Liu; Ronghui Zhan; Qinglin Zhai; Wei Wang; Jun Zhang","2015; Journal of Electromagnetic Waves and Applications 29(14):1917-1934","10.1080/09205071.2015.1067647","多视雷达目标闭集识别","多个相关视角HRRP","视角数/角范围见正文；以相关多任务处理；角标签NR","仿真车辆与MSTAR；无未知类","MtCS联合恢复稀疏系数；最小重构误差","无开集判决","论文报告较单视/传统方法更高且对噪声和复杂目标鲁棒；具体值见正文","代码未发现；MSTAR公开","共享稀疏相关性；仅闭集","直接构成MtCS-OSR前驱","无未知拒识；宽角无序适用性未证"
"C-03","多视HRRP闭集","E1","基于联合稀疏性的多视全极化HRRP目标识别方法","刘盛启; 占荣辉; 翟清林; 欧建平; 张军","2016; 电子与信息学报 38(7):1724-1730","10.11999/JEIT151019","地面目标闭集识别","连续多视；每视角4极化HRRP","连续角度；视角与极化有结构；角度标签NR","仿真/公开数据见正文；无未知类","多视与全极化分量共享原子级稀疏支撑","无开集判决","闭集准确率优于对比方法；逐表数值见正文","代码未发现","严格共同原子；依赖全极化和连续视角","联合多个HRRP并利用跨视一致性","多极化；闭集；非随机无序宽角"
"C-04","HRRP序列闭集","E1","An Adaptive Feature Learning Model for Sequential Radar High Resolution Range Profile Recognition","Xuan Peng; Xunzhang Gao; Yifan Zhang; Xiang Li","2017; Sensors 17(7):1675","10.3390/s17071675","地面目标闭集识别","连续姿态HRRP原始序列","360°划为50个角度域；按角度连续有序；序列长度可变；隐式角度域","MSTAR；无未知类","Dis-iRBM端到端联合建模全局序列模式","无开集判决","在MSTAR多条件实验中优于HMM等；具体值见原文","论文开放获取；代码未发现；MSTAR公开","顺序强先验；生成式训练复杂；仅闭集","覆盖360°并联合多条HRRP","有序长序列；非集合；无未知拒识"
"C-05","HRRP序列闭集","E1","Robust Automatic Target Recognition via HRRP Sequence Based on Scatterer Matching","Yuan Jiang; Yang Li; Jinjian Cai; Yanhua Wang; Jia Xu","2018; Sensors 18(2):593","10.3390/s18020593","目标闭集识别","连续HRRP序列","连续有序；角度空间与距离空间分解；角标签不直接输入","仿真和外场实测；无未知类","SVD解耦；ANM散射中心；Hausdorff距离与角空间相关性按奇异值融合","无开集判决","论文报告对噪声/杂波鲁棒并优于匹配基线","开放获取；代码/数据未发现","手工匹配流程；序列顺序/连续性；仅闭集","联合多条HRRP并利用散射物理结构","不适合随机无序直接套用；无未知拒识"
"C-06","HRRP序列闭集","E1","Attention-Based Recurrent Temporal Restricted Boltzmann Machine for Radar High Resolution Range Profile Sequence Recognition","Yifan Zhang; Xunzhang Gao; Xuan Peng; Jiaqi Ye; Xiang Li","2018; Sensors 18(5):1585","10.3390/s18051585","地面目标闭集识别","相邻角度HRRP序列","有序连续；注意选择时序特征；角标签不直接输入","MSTAR；无未知类","RTRBM提取时空相关；attention加权关键特征","无开集判决","噪声实验优于RTRBM/HMM等；具体值见原文","开放获取；代码未发现；MSTAR公开","有序连续假设；仅闭集","联合多HRRP；注意力融合","随机打乱会破坏时序语义；无未知拒识"
